"Date","CF","NAV","CON","DIS","type","Vintage","Fund.ID"
2018-12-31,83.374433357637,253.43297957733,0,83.374433357637,"PD",2008,"2008_PD"
2019-03-31,93.5676373324291,150.117508731794,-0.0935890664545432,93.6612263988838,"PD",2008,"2008_PD"
2019-06-30,30.7410510849526,162.519604443569,-4.76399028799999,35.5050413729524,"PD",2008,"2008_PD"
2019-09-30,0.0285440234752504,156.594747224898,0,0.0285440234752537,"PD",2008,"2008_PD"
2019-12-31,19.3063381806371,142.53238089245,-0.120647000000002,19.426985180637,"PD",2008,"2008_PD"
2020-03-31,4.89475838311778,118.592751925382,-0.638189000000018,5.53294738311777,"PD",2008,"2008_PD"
2020-06-30,22.0110716136075,113.47266327276,-8.99999979883432e-07,22.0110725136076,"PD",2008,"2008_PD"
2020-09-30,3.61314379596252,112.685633445486,0,3.61314379596249,"PD",2008,"2008_PD"
2020-12-31,30.4867045650108,115.881151468844,-0.812684000000004,3.92379819953228,"PD",2008,"2008_PD"
2021-03-31,33.9805006798165,127.802397678638,0,12.1568232706286,"PD",2008,"2008_PD"
2021-06-30,47.7416644763563,108.658090639297,0,43.0243157083575,"PD",2008,"2008_PD"
2021-09-30,169.03299492185,167.92909335872,-15,16.1039015631301,"PD",2008,"2008_PD"
2009-03-31,-41.25,59.4,-41.25,0,"PD",2009,"2009_PD"
2009-06-30,-191.635791154278,214.73050615091,-191.635791154278,0,"PD",2009,"2009_PD"
2009-09-30,-96.0260414950043,237.662986474984,-96.7178492341429,0.691807739138586,"PD",2009,"2009_PD"
2009-12-31,-107.548066238789,422.308841838557,-185.183538024929,2.25968783906595,"PD",2009,"2009_PD"
2010-03-31,-53.7430838150462,465.973394329133,-64.301291670625,10.5582078555787,"PD",2009,"2009_PD"
2010-06-30,-65.6275030405826,503.086945031666,-66.23308818695,0.605585146367456,"PD",2009,"2009_PD"
2010-09-30,-160.427007802831,684.999123946448,-167.865036448444,7.43802864561336,"PD",2009,"2009_PD"
2010-12-31,-45.0301988520718,736.666733035877,-47.5402965332,2.51009768112822,"PD",2009,"2009_PD"
2011-03-31,-56.8010017529204,829.329521091033,-72.892131905,16.0911301520796,"PD",2009,"2009_PD"
2011-06-30,-95.7078392106626,928.82668568084,-110.4952231208,14.7873839101374,"PD",2009,"2009_PD"
2011-09-30,-168.590743155595,1037.82273701186,-175.4402428902,6.84949973460505,"PD",2009,"2009_PD"
2011-12-31,-120.011033711843,1185.55083512577,-122.9594441828,2.94841047095668,"PD",2009,"2009_PD"
2012-03-31,-53.0452227282919,1243.4195906646,-65.496313634,12.4510909057081,"PD",2009,"2009_PD"
2012-06-30,-48.1470789745,1372.93516912175,-53.7783240587778,5.63124508427781,"PD",2009,"2009_PD"
2012-09-30,-30.1701884995365,1357.39355901197,-31.7229251136,1.55273661406352,"PD",2009,"2009_PD"
2012-12-31,318.904353400798,1275.26924383568,-27.4795779311,157.478234791284,"PD",2009,"2009_PD"
2013-03-31,146.852248305659,1116.27945461918,-10.3771690517222,157.229417357381,"PD",2009,"2009_PD"
2013-06-30,70.1720383434196,1094.80961403446,-15.4098798055,76.360668150762,"PD",2009,"2009_PD"
2013-09-30,38.7995378178506,1204.35157782401,-32.481604875,71.2811426928506,"PD",2009,"2009_PD"
2013-12-31,82.7302043281556,1183.00436167159,-19.044889018125,91.7349826887805,"PD",2009,"2009_PD"
2014-03-31,113.994767585498,1280.17383779991,-8.12074257142857,122.115510156927,"PD",2009,"2009_PD"
2014-06-30,44.854041588638,1282.03923407673,-33.5010113287143,78.3550529173522,"PD",2009,"2009_PD"
2014-09-30,40.4952337020284,1244.96817604938,-21.01442,61.5096537020284,"PD",2009,"2009_PD"
2014-12-31,110.968401842136,1142.40061921966,-37.9027126777143,148.87111451985,"PD",2009,"2009_PD"
2015-03-31,48.2584657303616,1104.82574789633,-13.2690499671428,61.5275156975045,"PD",2009,"2009_PD"
2015-06-30,14.1870657093879,1068.81010866299,-24.4895199885714,38.6765856979593,"PD",2009,"2009_PD"
2015-09-30,22.3527195309338,990.739606060417,-6.95361905214286,29.3063385830767,"PD",2009,"2009_PD"
2015-12-31,48.5253704130026,894.71137529209,-11.6135702142857,60.1389406272883,"PD",2009,"2009_PD"
2016-03-31,41.9224277245801,849.748801288479,-8.08985714285714,50.0122848674373,"PD",2009,"2009_PD"
2016-06-30,44.2877079833201,817.56763147699,-8.44238216214287,52.730090145463,"PD",2009,"2009_PD"
2016-09-30,32.08085601666,810.649837684853,0,32.08085601666,"PD",2009,"2009_PD"
2016-12-31,45.6523652155201,788.958283360256,-0.664614305857142,46.3169795213772,"PD",2009,"2009_PD"
2017-03-31,88.9557409093323,711.022892047444,0.20748297642858,88.7482579329038,"PD",2009,"2009_PD"
2017-06-30,60.5807416409638,659.296181292845,-0.185791392785718,60.7665330337495,"PD",2009,"2009_PD"
2017-09-30,47.773043077844,715.607266706144,-0.105555560833333,47.8785986386773,"PD",2009,"2009_PD"
2017-12-31,217.001743735818,565.550355361234,-0.475857142857143,70.1896008786749,"PD",2009,"2009_PD"
