Date;MKT_AP;HML_AP;SMB_AP;ESG_AP;HDY_AP;LOV_AP;MOM_AP;QLT_AP;MKT_EU;HML_EU;SMB_EU;ESG_EU;HDY_EU;LOV_EU;MOM_EU;QLT_EU;MKT_NA;HML_NA;SMB_NA;ESG_NA;HDY_NA;LOV_NA;MOM_NA;QLT_NA;MKT_World;HML_World;SMB_World;ESG_World;HDY_World;LOV_World;MOM_World;QLT_World;RF_World;RF_AP;RF_EU;RF_NA
1973-10-31;-0,002410758;0;0;0;0;0;0;0;0,013929564;0;0;0;0;0;-0,009219817;0;-0,004349455;0;0;0;0;0;0;0;0,010802262;0;0;0;0;0;0,002818623;0;0,01321302;0,01321302;0,01321302;0,01321302
1973-11-30;-0,134312529;0;0;0;0;0;0;0;-0,155893207;0;0;0;0;0;0,007292461;0;-0,107674721;0;0;0;0;0;0;0;-0,128905404;0;0;0;0;0;0,016985534;0;0,005407125;0,005407125;0,005407125;0,005407125
1973-12-31;-0,010264289;0;0;0;0;0;0;0;-0,033617033;0;0;0;0;0;0,015470148;0;0,013861522;0;0;0;0;0;0;0;-0,007417089;0;0;0;0;0;-0,02207503;0;0,0028472;0,0028472;0,0028472;0,0028472
1974-01-31;-2,72E-06;0;0;0;0;0;0;0;-0,009001909;0;0;0;0;0;0,031078824;0;-0,019191149;0;0;0;0;0;0;0;0,008514626;0;0;0;0;0;0,052983858;0;0,00851735;0,00851735;0,00851735;0,00851735
1974-02-28;0,038027652;0;0;0;0;0;0;0;0,053441756;0;0;0;0;0;0,005576033;0;0,025608465;0;0;0;0;0;0;0;0,016444918;0;0;0;0;0;-0,021884874;0;-0,021582734;-0,021582734;-0,021582734;-0,021582734
1974-03-31;-0,028218873;0;0;0;0;0;0;0;-0,043442603;0;0;0;0;0;0,035240222;0;-0,026939992;0;0;0;0;0;0;0;-0,024382556;0;0;0;0;0;-0,006452943;0;0,003836317;0,003836317;0,003836317;0,003836317
1974-04-30;-0,023712995;0;0;0;0;0;0;0;0,036261977;0;0;0;0;0;-0,006906478;0;-0,046845728;0;0;0;0;0;0;0;-0,015751212;0;0;0;0;0;0,044252093;0;0,007961783;0,007961783;0,007961783;0,007961783
1974-05-31;-0,034263542;0;0;0;0;0;0;0;-0,071440144;0;0;0;0;0;0,001561749;0;-0,028703889;0;0;0;0;0;0;0;-0,039318835;0;0;0;0;0;0,030196124;0;-0,005055292;-0,005055292;-0,005055292;-0,005055292
1974-06-30;-0,036840121;0;0;0;0;0;0;0;-0,05673338;0;0;0;0;0;0,020543447;0;-0,02275519;0;0;0;0;0;0;0;-0,030488899;0;0;0;0;0;-0,002530622;0;0,006351223;0,006351223;0,006351223;0,006351223
1974-07-31;-0,063861363;0;0;0;0;0;0;0;-0,015260053;0;0;0;0;0;0,004869582;0;-0,074868662;0;0;0;0;0;0;0;-0,058181338;0;0;0;0;0;0,017949395;0;0,005680025;0,005680025;0,005680025;0,005680025
1974-08-31;-0,10320676;0;0;0;0;0;0;0;-0,10959642;0;0;0;0;0;0,029600975;0;-0,09491003;0;0;0;0;0;0;0;-0,095362392;0;0;0;0;0;0,019879435;0;0,007844368;0,007844368;0,007844368;0,007844368
1974-09-30;-0,096380911;0;0;0;0;0;0;0;-0,100053297;0;0;0;0;0;0,014032392;0;-0,114611355;0;0;0;0;0;0;0;-0,092022256;0;0;0;0;0;0,036516003;0;0,004358655;0,004358655;0,004358655;0,004358655
1974-10-31;0,086216577;0;0;0;0;0;0;0;0,034900983;0;0;0;0;0;-0,026990802;0;0,155029089;0;0;0;0;0;0;0;0,097065926;0;0;0;0;0;-0,142508823;0;0,010849349;0,010849349;0,010849349;0,010849349
1974-11-30;-0,045647818;0;0;0;0;0;0;0;-0,02832618;0;0;0;0;0;0,041118308;0;-0,077874731;0;0;0;0;0;0;0;-0,014369069;0;0;0;0;0;0,091684505;0;0,031278749;0,031278749;0,031278749;0,031278749
1974-12-31;-0,035493811;0;0;0;0;0;0;0;-0,011261794;0;0;0;0;0;-0,001074154;0;-0,035111647;0;0;0;0;0;0;0;-0,015273769;0;0;0;0;0;-0,009977498;0;0,020220042;0,020220042;0,020220042;0,020220042
1975-01-31;0,110704951;0;0;0;0;0;0;0;0,200123914;-0,03781;0;0;0;0;-0,129226731;0;0,088820275;0,02375;0;0;0;0;-0,070112028;0;0,147137478;0,00971;0;0;0;0;-0,099757844;0;0,036432527;0,036432527;0,036432527;0,036432527
1975-02-28;0,041768195;0;0;0;0;0;0;0;0,085218976;-0,007158108;0;0;0;0;-0,039191088;0;0,010394207;-0,061180545;0;0;0;0;-0,010927165;0;0,089547646;-0,036829077;0;0;0;0;-0,015835173;0;0,047779451;0,047779451;0,047779451;0,047779451
1975-03-31;0,025327856;0;0;0;0;0;0;0;-0,013157567;-0,028423672;0;0;0;0;0,01669343;0;0,037282702;-0,016210605;0;0;0;0;0,004976378;0;0,008455863;-0,015587245;0;0;0;0;0,017080243;0;-0,016871993;-0,016871993;-0,016871993;-0,016871993
1975-04-30;0,028446721;0;0;0;0;0;0;0;0,059051873;0,007078463;0;0;0;0;-0,04083349;0;0,026373801;-0,002229216;0;0;0;0;0,00604926;0;0,042510396;-6,38E-05;0;0;0;0;-0,018792353;0;0,014063676;0,014063676;0,014063676;0,014063676
1975-05-31;-0,004187705;0;0;0;0;0;0;0;-0,042954725;-0,009638329;0;0;0;0;-0,025011489;0;0,013882004;0,007056531;0;0;0;0;0,009691078;0;0,024682715;0,003384411;0;0;0;0;-0,014722412;0;0,02887042;0,02887042;0,02887042;0,02887042
1975-06-30;0,015104724;0;0;0;0;0;0;0;-0,061202222;0,015281166;0;0;0;0;-0,028943361;0;0,046532982;0,037663509;0;0;0;0;-0,003024116;0;0,013593282;0,027494343;0;0;0;0;-0,021239962;0;-0,001511442;-0,001511442;-0,001511442;-0,001511442
1975-07-31;0,009626082;0;0;0;0;0;0;0;0,027361829;-0,006325233;0;0;0;0;0,00368605;0;0,005599724;0,047328179;0;0;0;0;-0,001391383;0;-0,054325845;0,027470802;0;0;0;0;0,025159779;0;-0,063951927;-0,063951927;-0,063951927;-0,063951927
1975-08-31;-0,014709474;0;0;0;0;0;0;0;0,022385519;0,011648363;0;0;0;0;0,027503139;0;-0,020120416;0,004367772;0;0;0;0;0,01198676;0;-0,014355455;0,006945619;0;0;0;0;0,046103842;0;0,000354019;0,000354019;0,000354019;0,000354019
1975-09-30;-0,018536432;0;0;0;0;0;0;0;-0,024496843;0,003279383;0;0;0;0;0,019854004;0;-0,010407237;0,025450767;0;0;0;0;-0,009790846;0;-0,04090179;0,016999014;0;0;0;0;0,019692501;0;-0,022365359;-0,022365359;-0,022365359;-0,022365359
1975-10-31;0,042760577;0;0;0;0;0;0;0;0,05463813;0,018773285;0;0;0;0;-0,008345574;0;0,031840127;-0,030747233;0;0;0;0;-0,019054334;0;0,070027618;-0,011224501;0;0;0;0;-0,018756868;0;0,027267041;0,027267041;0,027267041;0,027267041
1975-11-30;0,040575612;0;0;0;0;0;0;0;0,0397356;0,016633179;0;0;0;0;-0,026754992;0;0,04520804;-0,01739321;0;0;0;0;-0,015034389;0;0,028350896;-0,010178527;0;0;0;0;0,004698294;0;-0,012224716;-0,012224716;-0,012224716;-0,012224716
1975-12-31;-0,005704603;0;0;0;0;0;0;0;0,015282606;0,012456278;0;0;0;0;0,014079782;0;-0,017362562;0,029562796;0;0;0;0;0,001745758;-0,007910183;0,00183264;0,024751135;0;0;0;0;0,019472737;-0,010556896;0,007537244;0,007537244;0,007537244;0,007537244
1976-01-31;0,087002321;0;0;0;0;0;0;0;0,041460439;0,013750431;0;0;0;0;0,012593388;0;0,110589197;-0,001962034;0;0;0;0;0,01619257;0,001128156;0,090366812;0,004472004;0;0;0;0;-0,016128401;-0,000384606;0,003364491;0,003364491;0,003364491;0,003364491
