"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead1489",0.910204179289185,17.0382684647369,67,NA,NA,0,FALSE,TRUE,0.684999999999945,0.131697914811252,0.999930078305495,0.0980970755873894,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .539",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:30,17.0382684647369,0.000741446610535945,0.000416562870501103,0.00032906238192639
"Nelder-Mead590",0.86953125,21.4831716755662,26,NA,NA,0,TRUE,TRUE,0.261999999999944,1.80623909551561,0.813698251749588,4.76641457752129,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .54",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:28,21.4831716755662,NA,NA,NA
"Nelder-Mead1490",1.23212143527366,18.5338929129189,75,NA,NA,0,FALSE,TRUE,0.863999999999919,0.856974745173904,0.980391617841885,1.23461830915919,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .54",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:30,18.5338929129189,-0.00244239169801768,0.048062916377026,0.0184386629105251
"Nelder-Mead591",1.01162109375,19.6736803696149,24,NA,NA,0,TRUE,TRUE,0.233999999999924,0.974097783394731,0.990968074513095,1.28295618727201,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .540",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:30,19.6736803696149,NA,NA,NA
"Nelder-Mead1491",1.31787252533404,17.4613699998016,67,NA,NA,0,FALSE,TRUE,0.684999999999945,67.5294457789282,0,24.4407254752791,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .540",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:32,17.4613699998016,-0.00187127550256218,0.115970457811539,0.0419163163361597
"Nelder-Mead592",1.52734375,48.2746396728109,26,NA,NA,0,TRUE,TRUE,0.288000000000011,0.679651768783514,0.720036425018484,0.867238742708158,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .541",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:32,48.2746396728109,NA,NA,NA
"Nelder-Mead1492",1.57656018895579,48.2210732546132,69,NA,NA,0,FALSE,TRUE,0.732000000000085,0.524845734141239,0.955247350577125,0.203680212393881,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .541",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:34,48.2210732546132,-0.000283389366665431,0.000335662600123885,0.000325891337784199
"Nelder-Mead593",1.101171875,32.5415900259816,20,NA,NA,0,TRUE,TRUE,0.194999999999936,1.2231301165926,0.901516098010398,1.07792477445425,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .542",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:32,32.5415900259816,NA,NA,NA
"Nelder-Mead1493",1.19659765489196,32.3719405845068,61,NA,NA,0,FALSE,TRUE,0.602000000000089,4.47197288538115,0.67940459721884,2.11508391247908,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .542",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:34,32.3719405845068,-0.000651260014274158,0.107405048547668,0.0438296590183377
"Nelder-Mead594",1.02890625,59.6681277276731,20,NA,NA,0,TRUE,TRUE,0.188999999999965,0.549496432616751,0.987327029276515,1.28966814931044,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .543",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:34,59.6681277276731,NA,NA,NA
