"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead358",0.77724609375,25.7676850837944,26,NA,NA,0,TRUE,TRUE,0.507000000000062,1.07928731983897,0.810008189264902,1.71833813952329,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .330",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:20,25.7676850837944,NA,NA,NA
"Nelder-Mead1258",0.968828753456003,25.1930520559859,69,NA,NA,0,FALSE,TRUE,1.44799999999998,9.38605349667936,0.958106880445728,5.41864006896135,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .330",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:26,25.1930520559859,-0.00133555396887353,0.0105797270002702,0.00541960767342691
"Nelder-Mead359",-0.0468750000000009,135.671307985377,26,NA,NA,0,TRUE,TRUE,0.524000000000001,0.984374959893167,0.302767124618734,0.42441011823027,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .331",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:24,135.671307985377,NA,NA,NA
"Nelder-Mead1259",0.0663997337228504,132.697207873863,73,NA,NA,0,FALSE,TRUE,1.56500000000005,5.91249922189929,2.41720410798507e-07,2.73935778455179,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .331",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:31,132.697207873863,0.00474675809378579,0.0298168136482384,0.0192643473040257
"Nelder-Mead360",0.9353515625,37.6493087479449,22,NA,NA,0,TRUE,TRUE,0.452999999999975,5.08283363793648,0.742460124839019,10.4478454387831,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .332",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:25,37.6493087479449,NA,NA,NA
"Nelder-Mead1260",1.32952752867409,35.5654302293623,83,NA,NA,0,FALSE,TRUE,1.88099999999997,17.6101256532659,4.86324258641702e-08,6.95920210450552,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .332",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:29,35.5654302293623,-0.00310788095415172,0.0805019686355312,0.0285901634147095
"Nelder-Mead361",0.167187499999999,97.959813179787,26,NA,NA,0,TRUE,TRUE,0.490999999999985,1.02656516171066,0.39258641404671,0.468352201691876,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .333",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:29,97.959813179787,NA,NA,NA
"Nelder-Mead1261",1.84315325095421,72.276291893563,97,NA,NA,0,FALSE,TRUE,2.18200000000002,3.06251881538217,0.0356520907171018,1.18488664098086,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .333",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:33,72.276291893563,-0.0112972027104218,0.00478898436705016,0.00177031604471729
"Nelder-Mead362",0.927392578125,19.0733026067487,26,NA,NA,0,TRUE,TRUE,0.522000000000048,1.83770381749569,0.893852580471653,3.35523240169798,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .334",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:32,19.0733026067487,NA,NA,NA
"Nelder-Mead1262",0.980609429123512,18.998408545341,89,NA,NA,0,FALSE,TRUE,1.89599999999996,42.9901096218567,0.706543762954482,19.2300518575858,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .334",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:40,18.998408545341,-0.000391248150771872,0.235136613198421,0.0994051251201542
